metric_uid,title,source,product,is_ml,ml_task,ml_entity,concept,n_dashboards,dashboards,aliases,dc_kg_node_id,in_chart_registry,in_dc_kg,agreement,platform,sub_platform,domain,unit,aggregation,polarity,is_derived,is_kpi,depends_on,dependency_confidence,source_code_ref,formula
ga4.sessions,Sessions,ga4,MarketingIQ,false,,,sessions,2,website-performance; weekly-exec,,web.sessions,true,true,both,GA4,,marketing,count,sum,higher_better,false,true,ga4.sessions_field,high,"backend/app/repositories/website_performance.py:1045-1079 (_build_sessions_metric, calc 'SUM(SESSIONS)'); backend/app/features/weekly_exec/dashboard/repository.py:100-118 (SCORECARD_QUERY sessions)",Sessions = sum of website sessions over the period
ga4.true_oos_count,True OOS Count,ga4,ProductIQ,false,,,true_oos_count,1,inventory,,ecom.out_of_stock_count,true,true,both,GA4,,product,count,count_distinct,lower_better,true,true,ga4.items_added_to_cart; ga4.items_purchased,high,backend/app/repositories/inventory.py:283-304 (get_oos_count),"True OOS Count = count of distinct products with zero units purchased but more than 100 cart adds (cart adds capped below 10,000) over the last 30 days — a stricter bar than Items At Risk"
ga4.units_sold,Units Sold,ga4,ProductIQ,false,,,units,2,product-category; product-overview,,store.items_sold; store.units,true,true,both,GA4,,product,count,sum,higher_better,false,true,ga4.items_purchased,high,"backend/app/repositories/product_overview.py:676-710 (_build_units_metric, SQL line 71); backend/app/repositories/product_category.py:222-247 (_build_items_sold_metric, SQL line 116)",Units Sold = sum of units purchased over the selected period
ga4.users,Users,ga4,MarketingIQ,false,,,users,1,website-performance,,web.users,true,true,both,GA4,,marketing,count,sum,higher_better,false,true,ga4.users_field,high,"backend/app/repositories/website_performance.py:1081-1115 (_build_users_metric, calc 'SUM(USERS)')",Users = sum of unique users over the period
google_ads.below_top_impression_rate,Below Top Position Rate,google_ads,MarketingIQ,false,,,budget_lost,1,competitive,,blended.below_top,true,true,both,Google Ads,,marketing,percent,rate,lower_is_better,true,false,google_ads.top_impression_rate,high,backend/app/repositories/competitive.py:_build_below_top_metric (calc 100 - TOP_POSITION_PCT; _calculate_period_totals L318),"Below Top Position % = 100 − top-position rate, where top-position rate = impression-weighted average of the share of impressions landing above organic results"
google_ads.clicks,Clicks,google_ads,MarketingIQ,false,,,clicks,1,google-overview,,google.clicks,true,true,both,Google Ads,,marketing,count,sum,higher_is_better,false,true,google_ads.clicks_field,high,backend/app/repositories/google_overview.py:_build_clicks_metric (SUM(CLICKS)),Clicks = total Google Ads clicks over the selected period
google_ads.conversions,Conversions,google_ads,MarketingIQ,false,,,conversions,1,google-overview,,google.conversions,true,true,both,Google Ads,,marketing,count,sum,higher_is_better,false,true,google_ads.conversions_field,high,backend/app/repositories/google_overview.py:_build_conversions_metric (SUM(CONVERSIONS)),Conversions = total conversions attributed to Google Ads campaigns over the selected period
google_ads.cpa,CPA,google_ads,MarketingIQ,false,,,cpa,1,google-overview,,google.cpa,true,true,both,Google Ads,,marketing,currency,ratio,lower_is_better,true,true,google_ads.spend; google_ads.conversions,high,backend/app/repositories/google_overview.py:_build_cpa_metric (_calculate_period_totals L1279 SPEND/CONVERSIONS),CPA = total Google Ads spend ÷ total conversions
google_ads.impressions,Impressions,google_ads,MarketingIQ,false,,,impressions,2,competitive; google-overview,,blended.impressions; google.impressions,true,true,both,Google Ads,,marketing,count,sum,higher_is_better,false,true,google_ads.impressions_field,high,backend/app/repositories/google_overview.py:_build_impressions_metric (SUM(IMPRESSIONS)); competitive.py:_build_impressions_metric,Impressions = total Google Ads ad impressions over the selected period
google_ads.position_gap_rate,Position Gap Rate,google_ads,MarketingIQ,false,,,rank_lost,1,competitive,,blended.position_gap,true,true,both,Google Ads,,marketing,percent,rate,neutral,true,false,google_ads.top_impression_rate; competitive.absolute_top_pct_field,high,backend/app/repositories/competitive.py:_build_position_gap_metric (calc TOP_POSITION_PCT - ABSOLUTE_TOP_PCT; _calculate_period_totals L319),Position Gap % = top-position rate − absolute-top (#1) rate (both impression-weighted)
google_ads.roas,ROAS,google_ads,MarketingIQ,false,,,roas,1,google-overview,,google.roas,true,true,both,Google Ads,,marketing,ratio,ratio,higher_is_better,true,true,google_ads.conversion_value_field; google_ads.spend,high,backend/app/repositories/google_overview.py:_build_roas_metric (_calculate_period_totals L1274 CONVERSIONS_VALUE/SPEND),ROAS = total conversion value ÷ total Google Ads spend
google_ads.spend,Spend,google_ads,MarketingIQ,false,,,spend,1,google-overview,,google.spend,true,true,both,Google Ads,,marketing,currency,sum,neutral,false,true,google_ads.spend_field,high,backend/app/repositories/google_overview.py:_build_spend_metric (SUM(SPEND)),Spend = total Google Ads spend across all campaigns over the selected period
google_ads.top_impression_rate,Top Position Rate,google_ads,MarketingIQ,false,,,top_position,1,competitive,google_ads.top_position,blended.top_position,true,true,both,Google Ads,,marketing,percent,rate,higher_is_better,false,false,competitive.top_position_pct_field; google_ads.impressions,high,backend/app/repositories/competitive.py:_build_top_position_metric (_fetch_metric_base SUM(TOP_POSITION_PCT*IMPRESSIONS)/SUM(IMPRESSIONS)),"Top-position rate card: impression-weighted percentage of impressions appearing above organic results = sum of (top-position rate × impressions) ÷ total impressions across the period, with a weekly trend sparkline. Metadata also carries the absolute-top (#1) rate."
google_pmax.conversion_value,Performance Max Conversion Value,google_ads,MarketingIQ,false,,,conv_value,1,google-pmax,google_ads.conversion_value,google.conv_value; google.conversion_value,true,true,both,Google Ads,performance_max,marketing,currency,sum,higher_is_better,false,true,google_pmax.conversion_value_field,high,"backend/app/repositories/google_pmax.py:_build_conv_value_metric (SUM(CONVERSIONS_VALUE), PMAX_FILTER)",Conversion Value = total conversion value from Performance Max campaigns over the selected period
google_pmax.conversions,Performance Max Conversions,google_ads,MarketingIQ,false,,,conversions,1,google-pmax,google_ads.conversions,,true,false,only_chart_registry,Google Ads,performance_max,marketing,count,sum,higher_is_better,false,true,google_pmax.conversions_field,high,"backend/app/repositories/google_pmax.py:_build_conversions_metric (SUM(CONVERSIONS), PMAX_FILTER)",Conversions = total conversions from Performance Max campaigns over the selected period
google_pmax.cpa,Performance Max CPA,google_ads,MarketingIQ,false,,,cpa,1,google-pmax,google_ads.cpa,,true,false,only_chart_registry,Google Ads,performance_max,marketing,currency,ratio,lower_is_better,true,true,google_pmax.spend; google_pmax.conversions,high,"backend/app/repositories/google_pmax.py:_build_cpa_metric (SPEND/CONVERSIONS, PMAX_FILTER)",CPA = Performance Max spend ÷ Performance Max conversions
google_pmax.roas,Performance Max ROAS,google_ads,MarketingIQ,false,,,roas,1,google-pmax,google_ads.roas,,true,false,only_chart_registry,Google Ads,performance_max,marketing,ratio,ratio,higher_is_better,true,true,google_pmax.conversion_value; google_pmax.spend,high,"backend/app/repositories/google_pmax.py:_build_roas_metric (CONVERSIONS_VALUE/SPEND, PMAX_FILTER)",ROAS = Performance Max conversion value ÷ Performance Max spend
google_pmax.spend,Performance Max Spend,google_ads,MarketingIQ,false,,,spend,1,google-pmax,google_ads.spend,,true,false,only_chart_registry,Google Ads,performance_max,marketing,currency,sum,neutral,false,true,google_pmax.spend_field,high,"backend/app/repositories/google_pmax.py:_build_spend_metric (SUM(SPEND), PMAX_FILTER)",Spend = total Performance Max spend over the selected period
google_search.clicks,Search Clicks,google_ads,MarketingIQ,false,,,kpi_search_clicks,1,google-search,google_ads.clicks,,true,false,only_chart_registry,Google Ads,search,marketing,count,sum,higher_is_better,false,true,google_search.clicks_field,high,"backend/app/repositories/google_search.py:_build_clicks_metric (SUM(CLICKS), CAMPAIGN_TYPE='SEARCH')",Search Clicks = total clicks on Google Search campaigns over the selected period
google_search.conversions,Search Conversions,google_ads,MarketingIQ,false,,,kpi_search_conversions,1,google-search,google_ads.conversions,,true,false,only_chart_registry,Google Ads,search,marketing,count,sum,higher_is_better,false,true,google_search.conversions_field,high,"backend/app/repositories/google_search.py:_build_conversions_metric (SUM(CONVERSIONS), CAMPAIGN_TYPE='SEARCH')",Search Conversions = total conversions from Google Search campaigns over the selected period
google_search.quality_score,Search Quality Score,google_ads,MarketingIQ,false,,,kpi_search_quality_score,1,google-search,google_ads.quality_score,google.quality_score,true,true,both,Google Ads,search,marketing,index,avg,higher_is_better,true,true,google_search.quality_score_field,high,"backend/app/repositories/google_search.py:_fetch_quality_score_metric (AVG(QUALITY_SCORE), MART_GOOGLE_KEYWORD_PERFORMANCE)",Quality Score = average Quality Score (1-10) across scored Search keywords
google_search.roas,Search ROAS,google_ads,MarketingIQ,false,,,roas,1,google-search,google_ads.roas,,true,false,only_chart_registry,Google Ads,search,marketing,ratio,ratio,higher_is_better,true,true,google_search.conversion_value_field; google_search.spend,high,backend/app/repositories/google_search.py:_build_roas_metric (_calculate_period_totals L1099 CONVERSIONS_VALUE/SPEND),Search ROAS = Search conversion value ÷ Search spend
google_search.spend,Search Spend,google_ads,MarketingIQ,false,,,spend,1,google-search,google_ads.spend,,true,false,only_chart_registry,Google Ads,search,marketing,currency,sum,neutral,false,true,google_search.spend_field,high,"backend/app/repositories/google_search.py:_build_spend_metric (SUM(SPEND), CAMPAIGN_TYPE='SEARCH')",Search Spend = total spend on Google Search campaigns over the selected period
google_shopping.active_campaigns,Shopping Campaigns with Spend,google_ads,MarketingIQ,false,,,active_campaigns,1,google-shopping,google_ads.active_campaigns,google.active_campaigns,true,true,both,Google Ads,shopping,marketing,count,count,neutral,true,true,google_shopping.campaign_id_field; google_shopping.spend,high,backend/app/repositories/google_shopping.py:_fetch_active_campaigns_count (COUNT(DISTINCT CAMPAIGN_ID) WHERE SPEND>0),Campaigns with Spend = count of distinct Shopping campaigns with spend > 0 over the period (compared against total Shopping campaigns)
google_shopping.conversion_value,Shopping Revenue (Conversion Value),google_ads,MarketingIQ,false,,,revenue,1,google-shopping,google_ads.conversion_value,google.conversion_value; google.revenue,true,true,both,Google Ads,shopping,marketing,currency,sum,higher_is_better,false,true,google_shopping.conversion_value_field,high,"backend/app/repositories/google_shopping.py:_build_revenue_metric (SUM(CONVERSIONS_VALUE), CAMPAIGN_TYPE='SHOPPING')",Shopping Revenue = total conversion value from Shopping campaigns over the selected period
google_shopping.roas,Shopping ROAS,google_ads,MarketingIQ,false,,,roas,1,google-shopping,google_ads.roas,,true,false,only_chart_registry,Google Ads,shopping,marketing,ratio,ratio,higher_is_better,true,true,google_shopping.conversion_value; google_shopping.spend,high,backend/app/repositories/google_shopping.py:_build_roas_metric (_calculate_period_totals L1102 CONVERSIONS_VALUE/SPEND),Shopping ROAS = Shopping conversion value ÷ Shopping spend
google_shopping.spend,Shopping Spend,google_ads,MarketingIQ,false,,,spend,1,google-shopping,google_ads.spend,,true,false,only_chart_registry,Google Ads,shopping,marketing,currency,sum,neutral,false,true,google_shopping.spend_field,high,"backend/app/repositories/google_shopping.py:_build_spend_metric (SUM(SPEND), CAMPAIGN_TYPE='SHOPPING')",Shopping Spend = total spend on Shopping campaigns over the selected period
google_youtube.conversion_value,YouTube Conversion Value,google_ads,MarketingIQ,false,,,conv_value,1,google-youtube,google_ads.conversion_value,google.conversion_value,true,true,both,Google Ads,youtube,marketing,currency,sum,higher_is_better,false,true,google_youtube.conversion_value_field,high,backend/app/repositories/google_youtube.py:_build_conversion_value_metric (SUM(CONVERSIONS_VALUE)),Conversion Value = total conversion value from YouTube/Video campaigns over the selected period
google_youtube.conversions,YouTube Conversions,google_ads,MarketingIQ,false,,,conversions,1,google-youtube,google_ads.conversions,,true,false,only_chart_registry,Google Ads,youtube,marketing,count,sum,higher_is_better,false,true,google_youtube.conversions_field,high,backend/app/repositories/google_youtube.py:_build_conversions_metric (SUM(CONVERSIONS)),Conversions = total conversions from YouTube/Video campaigns over the selected period
google_youtube.cpv,YouTube Cost Per View,google_ads,MarketingIQ,false,,,cpv,1,google-youtube,google_ads.cpv,google.cpv,true,true,both,Google Ads,youtube,marketing,currency,ratio,lower_is_better,true,true,google_youtube.spend; google_youtube.video_views,high,backend/app/repositories/google_youtube.py:_build_cpv_metric (_calculate_youtube_totals L906 SPEND/VIDEO_VIEWS),Cost Per View = total YouTube spend ÷ total video views
google_youtube.impressions,YouTube Impressions,google_ads,MarketingIQ,false,,,impressions,1,google-youtube,google_ads.impressions,,true,false,only_chart_registry,Google Ads,youtube,marketing,count,sum,higher_is_better,false,true,google_youtube.impressions_field,high,backend/app/repositories/google_youtube.py:_build_impressions_metric (SUM(IMPRESSIONS)),Impressions = total ad impressions across YouTube/Video campaigns over the selected period
google_youtube.roas,YouTube (Video) ROAS,google_ads,MarketingIQ,false,,,roas,1,google-youtube,google_ads.roas,,true,false,only_chart_registry,Google Ads,youtube,marketing,ratio,ratio,higher_is_better,true,true,google_youtube.conversion_value; google_youtube.spend,high,backend/app/repositories/google_youtube.py:_build_roas_metric (_calculate_youtube_totals L911 CONVERSIONS_VALUE/SPEND),Video ROAS = YouTube conversion value ÷ YouTube spend
google_youtube.spend,YouTube Spend,google_ads,MarketingIQ,false,,,spend,1,google-youtube,google_ads.spend,,true,false,only_chart_registry,Google Ads,youtube,marketing,currency,sum,neutral,false,true,google_youtube.spend_field,high,backend/app/repositories/google_youtube.py:_build_spend_metric (SUM(SPEND)),Total Spend = total spend on YouTube/Video campaigns over the selected period
google_youtube.video_views,YouTube Video Views,google_ads,MarketingIQ,false,,,video_views,1,google-youtube,google_ads.video_views,google.video_views,true,true,both,Google Ads,youtube,marketing,count,sum,higher_is_better,false,true,google_youtube.video_views_field,high,backend/app/repositories/google_youtube.py:_build_video_views_metric (SUM(VIDEO_VIEWS)),Video Views = total video views across YouTube/Video campaigns over the selected period
google_youtube.view_rate,YouTube View Rate,google_ads,MarketingIQ,false,,,view_rate,1,google-youtube,google_ads.view_rate,google.view.rate,true,true,both,Google Ads,youtube,marketing,percent,rate,higher_is_better,true,true,google_youtube.video_views; google_youtube.impressions,high,backend/app/repositories/google_youtube.py:_build_view_rate_metric (_calculate_youtube_totals L901 VIDEO_VIEWS*100/IMPRESSIONS),View Rate = total video views ÷ total impressions × 100
email.active_flows,Active Flows,klaviyo,MarketingIQ,false,,,active_flows,1,klaviyo-flows,klaviyo.active_flows,,true,false,only_chart_registry,Klaviyo,email,marketing,count,count_distinct,neutral,false,true,email.flow_id; email.flow_status,high,"backend/app/repositories/klaviyo_flows.py:58-91 (_sql_aggregate_kpis), :242-265 (_build_active_flows_metric); metric_id 'active_flows' on klaviyo-flows dashboard",Active Flows = count of distinct automation flows in live status that sent during the period
email.bounce_rate,Email Bounce Rate,klaviyo,MarketingIQ,false,,,bounce_rate,1,klaviyo-email,klaviyo.bounce_rate,klaviyo.bounce.rate,true,true,both,Klaviyo,email,marketing,percent,ratio,lower_is_better,true,true,email.total_bounces; email.total_sends,high,"backend/app/repositories/klaviyo_email.py:128 (BOUNCE_RATE in _fetch_metric_base), :296-321 (_build_bounce_rate_metric)",Bounce Rate = bounced emails ÷ emails sent × 100
email.click_rate,Email Click Rate,klaviyo,MarketingIQ,false,,,click_rate,2,klaviyo-email; klaviyo-flows,klaviyo.click_rate,,true,false,only_chart_registry,Klaviyo,email,marketing,percent,ratio,higher_is_better,true,true,email.total_unique_clicks; email.total_sends,high,"backend/app/repositories/klaviyo_email.py:126 (CLICK_RATE), :248-271 (_build_click_rate_metric); klaviyo_flows.py:124 (AVG(click_rate)) for the flows view",Click Rate = unique clicks ÷ emails sent × 100
email.ctor,Email Click-to-Open Rate (CTOR),klaviyo,MarketingIQ,false,,,ctor,1,klaviyo-email,klaviyo.ctor,klaviyo.ctor,true,true,both,Klaviyo,email,marketing,percent,ratio,higher_is_better,true,true,email.total_unique_clicks; email.total_unique_opens,high,"backend/app/repositories/klaviyo_email.py:127 (CTOR), :273-294 (_build_ctor_metric)",Click-to-Open Rate = unique clicks ÷ unique opens × 100
email.emails_sent,Emails Sent,klaviyo,MarketingIQ,false,,,emails_sent,2,klaviyo-email; klaviyo-flows,klaviyo.sends,,true,false,only_chart_registry,Klaviyo,email,marketing,count,sum,neutral,false,true,email.total_sends,high,"backend/app/repositories/klaviyo_email.py:120 (EMAILS_SENT = SUM(TOTAL_SENDS)), :202-223 (_build_emails_sent_metric)",Emails Sent = total emails sent over the period
email.open_rate,Email Open Rate,klaviyo,MarketingIQ,false,,,open_rate,2,klaviyo-email; klaviyo-flows,klaviyo.open_rate,,true,false,only_chart_registry,Klaviyo,email,marketing,percent,ratio,higher_is_better,true,true,email.total_unique_opens; email.total_sends,high,"backend/app/repositories/klaviyo_email.py:125 (OPEN_RATE), :225-246 (_build_open_rate_metric); klaviyo_flows.py:99 (AVG(open_rate)) for the flows view",Open Rate = unique opens ÷ emails sent × 100
email.unsubscribe_rate,Email Unsubscribe Rate,klaviyo,MarketingIQ,false,,,unsubscribe_rate,1,churn-analysis,klaviyo.unsubscribe_rate,blended.unsubscribe.rate,true,true,both,Klaviyo,email,marketing,percent,ratio,lower_is_better,true,true,email.email_unsubscribed; magento.total_customers,high,"backend/app/features/churn_analysis/metrics/service.py:82-93 (unsubscribe-rate = unsubscribed_count / total_customers); backend/app/repositories/churn_analysis.py:275 (EMAIL_UNSUBSCRIBED from MART_KLAVIYO_LIST_HEALTH), :261 (TOTAL_CUSTOMERS = COUNT(*) MART_CUSTOMER_HEALTH)",Unsubscribe Rate = email unsubscribes ÷ total customers × 100%
sms.click_rate,SMS Click Rate,klaviyo,MarketingIQ,false,,,click_rate,2,klaviyo-sms; sms-performance,klaviyo.click_rate,,true,false,only_chart_registry,Klaviyo,sms,marketing,percent,ratio,higher_is_better,true,true,sms.total_clicks; sms.total_sends,high,"backend/app/repositories/klaviyo_sms.py:388 (avg_click_rate = AVG(CLICK_RATE)), :160-185 (_build_click_rate_metric); backend/app/features/sms_performance/dashboard/repository.py:52-53 (Clicked SMS / Received SMS)",SMS Click Rate = distinct clicked SMS ÷ distinct received SMS × 100
sms.revenue,SMS Revenue,klaviyo,MarketingIQ,false,,,revenue,2,klaviyo-sms; sms-performance,klaviyo.sms_revenue,,true,false,only_chart_registry,Klaviyo,sms,marketing,currency,sum,higher_is_better,false,true,sms.total_revenue,high,"backend/app/repositories/klaviyo_sms.py:387 (total_revenue = SUM(TOTAL_REVENUE)), :213-235 (_build_revenue_metric); backend/app/features/sms_performance/dashboard/repository.py:58-59 (SUM Placed Order value)",SMS Revenue = total Placed Order value attributed to SMS engagement
sms.revenue_per_sms,Revenue per SMS,klaviyo,MarketingIQ,false,,,revenue_per_sms,2,klaviyo-sms; sms-performance,klaviyo.revenue_per_sms,klaviyo.revenue_per_sms,true,true,both,Klaviyo,sms,marketing,currency,ratio,higher_is_better,true,true,sms.revenue; sms.sms_sent,high,backend/app/repositories/klaviyo_sms.py:237-262 (_build_revenue_per_sms_metric: curr_revenue / curr_sent); backend/app/features/sms_performance/dashboard/repository.py:351 (revenue / total_sent),Revenue per SMS = SMS-attributed revenue ÷ total SMS received
sms.sms_sent,SMS Sent,klaviyo,MarketingIQ,false,,,sms_sent,2,klaviyo-sms; sms-performance,klaviyo.sms_sent,klaviyo.sent.sum,true,true,both,Klaviyo,sms,marketing,count,sum,neutral,false,true,sms.total_sends,high,"backend/app/repositories/klaviyo_sms.py:383 (total_sent = SUM(TOTAL_SENDS)), :136-158 (_build_total_sent_metric); backend/app/features/sms_performance/dashboard/repository.py:48 (COUNT DISTINCT Received SMS)",SMS Sent = count of distinct received SMS messages over the period
sms.unsubscribe_rate,SMS Unsubscribe Rate,klaviyo,MarketingIQ,false,,,unsubscribe_rate,2,klaviyo-sms; sms-performance,klaviyo.unsubscribe_rate,,true,false,only_chart_registry,Klaviyo,sms,marketing,percent,ratio,lower_is_better,true,true,sms.total_opt_outs; sms.total_sends,high,"backend/app/repositories/klaviyo_sms.py:389 (avg_opt_out_rate = AVG(OPT_OUT_RATE)), :187-211 (_build_unsubscribe_rate_metric); backend/app/features/sms_performance/dashboard/repository.py:54-56 ('Unsubscribed from SMS Marketing' / 'Received SMS')",SMS Unsubscribe Rate = distinct SMS opt-out events ÷ distinct received SMS × 100
magento.active_customers,Active Customers,magento,CustomerIQ,false,,,customers,1,customer-overview,,store.active_customers,true,true,both,Magento,,customer,count,count_distinct,higher_is_better,false,true,magento.customer_id; magento.last_order_date,0.9,backend/app/repositories/customer_overview.py:452-456 (_build_active_customers_metric / _get_customer_kpis ACTIVE_CUSTOMERS),Active Customers = count of distinct customers (with ≥1 order) whose most recent order is within 90 days of the period end. Active Rate = active customers ÷ total customers × 100
magento.active_customers_30d,Active Customers (30d),magento,CustomerIQ,false,,,customers,1,customer-rfm,magento.active_customers,,true,false,only_chart_registry,Magento,,customer,count,count_distinct,higher_is_better,false,true,magento.customer_id; magento.last_order_date,0.95,"backend/app/repositories/customer_rfm.py:169-178,348 (_build_active_customers_metric / _get_kpi_summary ACTIVE_30D)",Active Customers = count of purchasing customers whose most recent order is within the trailing 30 days
magento.aov,Average Order Value,magento,StoreFrontIQ,false,,,aov,6,ceo-pulse; cro; customer-journey; funnel; magento-orders-fulfillment; magento-store-overview,,blended.aov; ecom.aov; store.aov; web.aov,true,true,both,Magento,,sales,currency,ratio,higher_better,true,true,magento.gross_revenue; magento.orders,high,"backend/app/repositories/magento_store_overview.py:664-701 (_build_aov_metric, calculation 'GROSS_REVENUE / TOTAL_ORDERS'); backend/app/repositories/magento_orders_fulfillment.py:768-789; dbt mart_ecom_daily.sql:103-106 (aov = gross_revenue / total_orders)",Average Order Value = revenue ÷ purchases over the period
magento.avg_churn_risk_score,Average Churn Risk Score,magento,CustomerIQ,false,,,avg_churn_probability,3,churn-analysis; cohort-analysis; customer-rfm,magento.churn_risk_score,blended.churn.avg; blended.churn_prob.avg; store.churn_risk.avg,true,true,both,Magento,,customer,score,avg,lower_is_better,true,true,magento.churn_risk_score,0.95,backend/app/repositories/churn_analysis.py:263 (AVG_CHURN_PROBABILITY_PCT); cohort_analysis.py:377; customer_rfm.py:354,Average Churn Probability = average of the per-customer churn-risk score (0-100) across all customers that existed by the end of the period
magento.avg_customer_lifespan_days,Avg Days Between Orders,magento,CustomerIQ,false,,,days_between_orders,1,customer-retention,,,true,false,only_chart_registry,Magento,,customer,days,avg,higher_is_better,true,true,magento.first_order_date; magento.last_order_date,0.97,"backend/app/repositories/customer_retention.py:192 (AVG_CUSTOMER_LIFESPAN_DAYS = AVG(DATEDIFF(day, FIRST_ORDER_DATE, LAST_ORDER_DATE)))","Avg Days Between Orders = average customer lifespan in days (first-to-last order gap), averaged across customers with ≥1 order"
magento.avg_days_between_orders,Avg Days Between Orders,magento,StoreFrontIQ,false,,,avg_days_between_orders,1,magento-customer-analytics,,ecom.days_between_orders.avg,true,true,both,Magento,,customer,days,avg,lower_better,true,false,magento.days_since_prev_order,high,"backend/app/repositories/magento_customer_analytics.py:198-210 (_build_avg_days_between_orders_metric, 'AVG(AVG_DAYS_BETWEEN_ORDERS)'), :361-370 (weighted avg over rows where value>0); dbt mart_customer_segments_daily.sql:86 (avg(case when days_since_prev_order > 0 then days_since_prev_order end))","Avg Days Between Orders = average of the daily per-segment average gap between a customer's orders, over rows that have a positive value"
magento.avg_health_score,Average Health Score,magento,CustomerIQ,false,,,avg_health_score,1,customer-health,magento.health_score,store.health_score.avg,true,true,both,Magento,,customer,score,avg,higher_is_better,true,true,magento.health_score,0.97,"backend/app/repositories/customer_health.py:435,209-224 (AVG(HEALTH_SCORE))",Average Health Score = average of the per-customer health score (0-100) across scored customers
magento.avg_items_per_order,Avg Items per Order,magento,ProductIQ,false,,,avg_items_per_order,1,product-affinity,,store.items_per_order.avg,true,true,both,Magento,,sales,ratio,ratio,higher_is_better,true,true,magento.units_sold; magento.orders,0.97,"backend/app/repositories/product_affinity.py:224,488-522 (AVG_ITEMS_PER_ORDER = SUM(TOTAL_ITEMS_ORDERED)/SUM(TOTAL_ORDERS))",Avg Items per Order = total items ordered ÷ total orders (over the period)
magento.avg_orders_per_customer,Avg Orders per Customer,magento,CustomerIQ,false,,,aov,3,cohort-analysis; customer-retention; magento-customer-analytics,magento.orders_per_customer,blended.orders.avg; ecom.orders_per_customer.avg,true,true,both,Magento,,customer,ratio,ratio,higher_is_better,true,true,magento.orders; magento.unique_customers,0.95,"backend/app/repositories/magento_customer_analytics.py:350,184-196; cohort_analysis.py:342; customer_retention.py:190",Avg Orders per Customer = total orders ÷ unique customers
magento.avg_rating,Average Rating,magento,CustomerIQ,false,,,avg_rating,1,customer-feedback,,store.rating.avg,true,true,both,Magento,,customer,rating,avg,higher_is_better,true,true,magento.review_rating,0.95,"backend/app/repositories/customer_feedback.py:225,181 (AVG(NULLIF(AVG_RATING,0)))",Average Rating = average of each day's average star rating (1-5) over the trailing 7 days; change = current 7-day average − prior 7-day average
magento.bundle_penetration,Bundle Penetration,magento,ProductIQ,false,,,bundle_pct,1,product-affinity,magento.bundle_pct,store.bundle.rate,true,true,both,Magento,,sales,percent,ratio,higher_is_better,true,true,magento.bundle_orders; magento.orders,0.97,"backend/app/repositories/product_affinity.py:225,524-558 (BUNDLE_ORDER_PCT = SUM(BUNDLE_ORDERS)*100/SUM(TOTAL_ORDERS))",Bundle Penetration = (orders containing a bundle product ÷ total orders) × 100
magento.cancellation_rate,Cancellation Rate,magento,StoreFrontIQ,false,,,cancellation_rate,1,magento-orders-fulfillment,,,true,false,only_chart_registry,Magento,,sales,percent,ratio,lower_better,true,true,magento.canceled_orders; magento.orders,high,"backend/app/repositories/magento_orders_fulfillment.py:791-805 (_build_cancellation_rate_metric, 'CANCELED_ORDERS / TOTAL_ORDERS * 100'), :640 (_calculate_fulfillment_totals); dbt mart_orders_fulfillment_daily.sql:47,197-201 (canceled_orders, cancellation_rate)",Cancellation Rate = canceled orders ÷ total orders × 100
magento.cart_abandonment_rate,Cart Abandonment Rate,magento,StoreFrontIQ,false,,,cart_abandonment,1,magento-orders-fulfillment,,,true,false,only_chart_registry,Magento,,sales,percent,ratio,lower_better,true,true,magento.abandoned_carts; magento.converted_carts,high,"backend/app/repositories/magento_orders_fulfillment.py:823-839 (_build_cart_abandonment_metric, 'ABANDONED_CARTS / (ABANDONED_CARTS + CONVERTED_CARTS) * 100'), :648-653 (_calculate_fulfillment_totals cart_total); dbt mart_orders_fulfillment_daily.sql:105-106,170-175 (abandoned_carts, converted_carts, cart_abandonment_rate)",Cart Abandonment Rate = abandoned carts ÷ (abandoned carts + converted carts) × 100
magento.clv,Average CLV,magento,CustomerIQ,false,,,clv,5,cohort-analysis; customer-ltv; customer-retention; customer-rfm; magento-customer-analytics,magento.average_ltv,blended.clv.avg; ecom.ltv.avg; store.clv.avg,true,true,both,Magento,,customer,currency,ratio,higher_is_better,true,true,magento.gross_revenue; magento.unique_customers,0.85,"backend/app/repositories/magento_customer_analytics.py:351,148-158 (AVG_LTV = GROSS_REVENUE/UNIQUE_CUSTOMERS); customer_ltv.py:162 (AVG(ACTUAL_LTV)); customer_rfm.py:351 (AVG(NET_LTV))",Average LTV = gross revenue ÷ unique customers
magento.clv_at_risk,CLV at Risk,magento,CustomerIQ,false,,,clv,2,churn-analysis; customer-ltv,magento.at_risk_clv,blended.clv_at_risk; store.at_risk_value,true,true,both,Magento,,customer,currency,sum,lower_is_better,true,true,magento.net_revenue; magento.churn_risk_level,0.92,"backend/app/repositories/customer_ltv.py:206,486-512 (SUM(net_ltv) WHERE churn_risk_level IN High/Critical); churn_analysis.py:265 (HIGH_RISK_CLV)",CLV at Risk = sum of net lifetime value of customers at High or Critical churn-risk level (churn-risk score ≥ 60); percentage = at-risk CLV ÷ total portfolio CLV × 100
